design,flow,switching_power,switching_power_%,tot_power,tot_power_%,#1-bit FFs,#2-bit FFs,#4-bit FFs,#clk bufs,#clk bufs_%,WNS,WNS_%,TNS,TNS_%,area,area_%,WL,WL_%,#inst,#inst_%
uart,SFTray alpha_8-beta_0.1,0.000705816,-12.46,0.00208177,-10.67,0,0,20,3,-70.0,-22.8686,-18.84,-624.989,-1.79,92.9767,-2.34,1498,2.96,775,-9.25
uart,Ours alpha_8-beta_0.1,0.000703154,-12.79,0.00207915,-10.78,1,1,19,4,-60.0,-19.6877,-30.13,-525.07,-17.49,92.0581,-3.31,1482,1.86,776,-9.13
uart,SFTray alpha_16-beta_0.1,0.000705816,-12.46,0.00208177,-10.67,0,0,20,3,-70.0,-22.8686,-18.84,-624.989,-1.79,92.9767,-2.34,1498,2.96,775,-9.25
uart,Ours alpha_16-beta_0.1,0.000703154,-12.79,0.00207915,-10.78,1,1,19,4,-60.0,-19.6877,-30.13,-525.07,-17.49,92.0581,-3.31,1482,1.86,776,-9.13
uart,SFTray alpha_67-beta_0.1,0.000705816,-12.46,0.00208177,-10.67,0,0,20,3,-70.0,-22.8686,-18.84,-624.989,-1.79,92.9767,-2.34,1498,2.96,775,-9.25
uart,Ours alpha_67-beta_0.1,0.000706327,-12.4,0.00209476,-10.11,0,0,20,4,-60.0,-21.0207,-25.39,-665.148,4.52,93.2099,-2.1,1504,3.37,781,-8.55
uart,SFTray alpha_130-beta_0.1,0.000705816,-12.46,0.00208177,-10.67,0,0,20,3,-70.0,-22.8686,-18.84,-624.989,-1.79,92.9767,-2.34,1498,2.96,775,-9.25
uart,Ours alpha_130-beta_0.1,0.000706327,-12.4,0.00209476,-10.11,0,0,20,4,-60.0,-21.0207,-25.39,-665.148,4.52,93.2099,-2.1,1504,3.37,781,-8.55
uart,SFTray alpha_193-beta_0.1,0.000705816,-12.46,0.00208177,-10.67,0,0,20,3,-70.0,-22.8686,-18.84,-624.989,-1.79,92.9767,-2.34,1498,2.96,775,-9.25
uart,Ours alpha_193-beta_0.1,0.000706327,-12.4,0.00209476,-10.11,0,0,20,4,-60.0,-21.0207,-25.39,-665.148,4.52,93.2099,-2.1,1504,3.37,781,-8.55
uart,SFTray alpha_256-beta_0.1,0.000705816,-12.46,0.00208177,-10.67,0,0,20,3,-70.0,-22.8686,-18.84,-624.989,-1.79,92.9767,-2.34,1498,2.96,775,-9.25
uart,Ours alpha_256-beta_0.1,0.000706327,-12.4,0.00209476,-10.11,0,0,20,4,-60.0,-21.0207,-25.39,-665.148,4.52,93.2099,-2.1,1504,3.37,781,-8.55
